Array size,Avg time (ns)
1000,20111
1100,16262.05
1200,7146.65
1300,5163.45
1400,5395.95
1500,7673.4
1600,7519.5
1700,2364.05
1800,2391.9
1900,2442.85
2000,3195.55
2100,3161.2
2200,3258.35
2300,3472.05
2400,3545.95
2500,3446.7
2600,3749.35
2700,3334
2800,4212.5
2900,4446.9
3000,4262.3
3100,4171.65
3200,4424.55
3300,4857.4
3400,5043.65
3500,5046.95
3600,5192.3
3700,5016
3800,5925.95
3900,5732.6
4000,5762
4100,5886.5
4200,6286.5
4300,6011.3
4400,6356.95
4500,6469.75
4600,6863.15
4700,6814.95
4800,6951.75
4900,6837.15
5000,6856.15
5100,7376
5200,7281.85
5300,8333.5
5400,7676.95
5500,24507.05
5600,9810.8
5700,9904.8
5800,9415.75
5900,14018.7
6000,8656.5
6100,8926.8
6200,13398
6300,11344.45
6400,11537.75
6500,8699.6
6600,9557.7
6700,10691.3
6800,10099.3
6900,9798.95
7000,11076.15
7100,12049.05
7200,13972.55
7300,14029.25
7400,18047.2
7500,14080.35
7600,13883.95
7700,16506.55
7800,17575.3
7900,20984.7
8000,11837
8100,19765.6
8200,24081.3
8300,14220.65
8400,41701.5
8500,25541.5
8600,23934.3
8700,27800.25
8800,42647.05
8900,17221.35
9000,25734.65
9100,15222.45
9200,18626.85
9300,24197.45
9400,51413.5
9500,40822.55
9600,41904.95
9700,23966.85
9800,45747
9900,34070.3
